	Atrial_septal_defect	Atrioventricular_septal_defect	DilatedCardiomyopathy	Familial_thoracic_aortic_aneurysm_and_aortic_dissection	HypertrophicCardiomyopathy	Malformation_of_the_outflow_tract	PCGC_DeNovoVariants	Single_ventricle_disease	Valve_defects	Ventricular_septal_defect
VEN_076_set25__539	0.1588	0.1909	-0.4829	0.3184	-0.5605	0.0959	0.2389	0.2638	0.1832	0.0515
VEN_076_set25__70	0.5467	0.5841	0.6841	0.2892	0.7265	0.4708	0.4190	0.4639	0.5558	0.5585
VEN_076_set25__708	-0.2310	-0.1817	0.2160	-0.5169	0.3419	-0.2313	-0.3373	-0.1222	-0.2601	-0.0851
VEN_076_set25__734	0.3817	0.3701	0.7765	0.0932	0.8641	0.2908	0.3216	0.4002	0.3054	0.3915
VEN_076_set25__753	0.1890	-0.0294	-0.4525	0.2238	-0.4440	0.0851	0.1701	0.2814	0.2874	0.0964
VEN_076_set25__765	0.0179	-0.3206	-0.6194	0.4914	-0.7597	-0.0358	-0.1339	-0.0323	-0.0256	-0.1724
VEN_076_set25__81	0.2666	0.2673	-0.3215	0.5004	-0.4227	0.3480	0.2805	0.4102	0.3182	0.1263
VEN_076_set25__813	0.2490	0.1970	0.6655	-0.2064	0.6649	0.1298	0.1329	0.3311	0.1674	0.2215
VEN_076_set25__830	0.2034	0.1585	0.6054	-0.0951	0.7097	0.1276	0.1836	0.2881	0.1270	0.2337
VEN_076_set26__50	-0.1896	-0.1293	-0.1453	-0.4948	0.3011	-0.0545	0.1251	0.1210	-0.1243	0.0949
VEN_076_set28__147	0.1593	0.1270	0.6220	0.0589	0.6808	0.1470	0.0750	0.2469	0.1049	0.2223
VEN_076_set28__155	0.3758	0.3112	0.7822	0.1034	0.8101	0.2773	0.2918	0.4849	0.3012	0.3962
VEN_076_set28__23	0.2500	0.4777	-0.3873	0.2741	-0.5879	0.2252	0.4276	0.0326	0.2755	0.1823
VEN_076_set28__31	0.3801	0.3999	0.7800	0.1621	0.8380	0.2883	0.3181	0.4515	0.3124	0.3991
VEN_076_set28__310	-0.1555	-0.2612	-0.6641	-0.0101	-0.7696	-0.1435	-0.2099	-0.1293	-0.0928	-0.1438
VEN_076_set28__311	-0.5666	-0.5468	-0.7267	0.3139	-0.7843	-0.7613	-0.5479	-0.6497	-0.6470	-0.6397
